Siparis_ID,Urun_Tipi,Siparis_Adedi,Hedef_Gramaj_g,Geri_Donusumlu_Kagit_Orani,Hammadde_Nem_Orani,Firin_Hizi_m_dk,Firin_Sicakligi_C,Dogalgaz_Tuketimi_m3,Elektrik_Tuketimi_kWh
S-10031,Standart Yumurta Viyolu,37653,54,0.89,0.058,19.85,233.9,462.18,585.72
S-10032,Oluklu Mukavva Kutu,37869,277,0.7,0.066,31.46,221.5,1406.69,763.2
S-10033,Endüstriyel Ambalaj Viyolu,94259,109,0.91,0.074,24.76,224.8,623.02,1046.81
S-10034,Premium Meyve Viyolu,44718,64,0.9,0.107,17.81,202.1,516.09,604.01
S-10035,Premium Meyve Viyolu,83579,77,0.99,0.089,41.76,217.9,197.36,1232.08
S-10036,Oluklu Mukavva Kutu,86622,259,0.87,0.099,20.86,223.3,1527.94,951.38
S-10037,Endüstriyel Ambalaj Viyolu,57447,94,0.98,0.145,42.45,202.2,263.52,999.88
S-10038,Premium Meyve Viyolu,76784,75,0.99,0.135,23.83,203.1,328.37,936.06
S-10039,Standart Yumurta Viyolu,16175,46,0.75,0.106,43.08,221.8,291.87,746.66
S-10040,Premium Meyve Viyolu,92240,65,0.88,0.149,19.2,211.1,654.49,971.27
S-10041,Endüstriyel Ambalaj Viyolu,88172,84,0.91,0.12,25.78,197.6,475.31,1023.08
S-10042,Endüstriyel Ambalaj Viyolu,60019,118,0.96,0.141,30.34,210.1,491.08,913.91
S-10043,Endüstriyel Ambalaj Viyolu,79352,96,0.91,0.13,41.7,200.3,333.72,1125.43
S-10044,Standart Yumurta Viyolu,99166,46,0.87,0.054,28.97,212.6,277.69,1040.47
S-10045,Oluklu Mukavva Kutu,94012,237,0.71,0.054,39.68,201.6,914.62,1155.19
S-10046,Standart Yumurta Viyolu,48469,51,0.93,0.072,33.69,185.1,186.47,817.45
S-10047,Premium Meyve Viyolu,69470,60,0.86,0.114,36.78,238.6,338.21,1020.47
S-10048,Oluklu Mukavva Kutu,75612,195,0.94,0.077,28.17,184.7,595.79,982.4
S-10049,Standart Yumurta Viyolu,91959,49,0.82,0.067,19.69,195.0,464.18,969.47
S-10050,Premium Meyve Viyolu,30032,71,0.9,0.078,43.65,224.3,299.16,873.66
S-10051,Premium Meyve Viyolu,80697,90,0.83,0.075,25.68,225.5,646.34,982.21
S-10052,Standart Yumurta Viyolu,88504,50,0.84,0.06,29.75,208.4,297.44,999.76
S-10053,Endüstriyel Ambalaj Viyolu,12552,87,0.82,0.112,34.05,182.7,455.91,575.14
S-10054,Oluklu Mukavva Kutu,50306,211,0.85,0.136,34.76,189.8,851.49,843.36
S-10055,Standart Yumurta Viyolu,41571,54,0.71,0.109,43.21,214.5,384.73,863.74
S-10056,Standart Yumurta Viyolu,21226,52,0.84,0.105,43.24,203.2,250.89,757.5
S-10057,Standart Yumurta Viyolu,79822,47,0.72,0.082,40.35,181.4,245.99,1161.21
S-10058,Premium Meyve Viyolu,96474,75,0.74,0.12,33.87,232.6,638.63,1182.57
S-10059,Premium Meyve Viyolu,44741,76,0.78,0.068,37.52,228.4,438.08,865.1
S-10060,Endüstriyel Ambalaj Viyolu,37760,114,0.81,0.128,25.22,235.8,980.58,697.44
S-10061,Premium Meyve Viyolu,50857,72,0.93,0.125,18.09,234.2,697.61,668.21
S-10062,Oluklu Mukavva Kutu,67422,282,0.8,0.14,26.68,180.7,1448.82,873.83
S-10063,Endüstriyel Ambalaj Viyolu,25860,95,0.99,0.107,33.96,206.9,261.86,661.83
S-10064,Premium Meyve Viyolu,18392,70,0.9,0.125,38.75,227.4,347.62,679.26
S-10065,Standart Yumurta Viyolu,87110,53,0.72,0.105,28.25,233.3,531.3,1012.04
S-10066,Premium Meyve Viyolu,87128,67,0.74,0.126,33.55,186.1,447.9,1066.85
S-10067,Standart Yumurta Viyolu,19305,55,0.72,0.132,36.19,184.9,345.13,641.49
S-10068,Standart Yumurta Viyolu,40007,46,0.94,0.145,44.58,225.2,193.5,907.19
S-10069,Standart Yumurta Viyolu,53309,46,0.93,0.106,27.73,234.4,301.96,767.22
S-10070,Premium Meyve Viyolu,46500,81,0.7,0.097,16.69,187.1,962.27,601.93
S-10071,Endüstriyel Ambalaj Viyolu,38080,114,0.92,0.108,43.87,202.5,358.51,879.61
S-10072,Premium Meyve Viyolu,84847,78,0.77,0.146,15.36,238.2,1359.59,856.26
S-10073,Endüstriyel Ambalaj Viyolu,41850,130,0.72,0.105,44.08,211.4,693.5,956.32
S-10074,Endüstriyel Ambalaj Viyolu,63354,92,0.84,0.113,32.53,234.1,659.79,892.35
S-10075,Standart Yumurta Viyolu,22704,55,0.78,0.069,28.91,201.2,360.65,618.19
S-10076,Endüstriyel Ambalaj Viyolu,56438,107,0.99,0.149,35.94,212.2,346.98,896.94
S-10077,Endüstriyel Ambalaj Viyolu,71213,126,0.91,0.066,42.33,229.4,381.32,1170.76
S-10078,Standart Yumurta Viyolu,98259,55,0.98,0.137,16.36,181.6,370.25,937.08
S-10079,Standart Yumurta Viyolu,17944,51,1.0,0.065,32.82,202.9,141.74,661.69
S-10080,Oluklu Mukavva Kutu,24322,213,0.82,0.077,16.69,231.9,1895.13,479.27
S-10081,Premium Meyve Viyolu,34931,77,0.93,0.144,40.49,194.8,266.34,828.19
S-10082,Endüstriyel Ambalaj Viyolu,28373,107,0.99,0.111,21.86,220.3,451.3,595.71
S-10083,Premium Meyve Viyolu,46509,74,0.73,0.117,30.61,226.3,688.02,791.76
S-10084,Premium Meyve Viyolu,19880,74,0.87,0.106,41.3,204.2,322.93,785.6
S-10085,Standart Yumurta Viyolu,16630,55,0.91,0.071,19.09,180.9,361.32,425.01
S-10086,Standart Yumurta Viyolu,22224,48,0.82,0.094,42.12,200.9,256.94,772.18
S-10087,Premium Meyve Viyolu,63269,75,0.82,0.112,40.87,237.0,403.56,1019.42
S-10088,Endüstriyel Ambalaj Viyolu,38016,105,0.84,0.148,29.78,199.7,603.96,743.87
S-10089,Standart Yumurta Viyolu,31579,51,0.72,0.063,18.84,189.1,538.48,530.62
S-10090,Standart Yumurta Viyolu,61173,49,0.75,0.085,41.9,208.4,271.95,1041.0
S-10091,Endüstriyel Ambalaj Viyolu,47388,107,0.76,0.054,20.07,196.7,820.84,641.16
S-10092,Endüstriyel Ambalaj Viyolu,30289,92,0.76,0.086,30.1,221.4,631.4,683.88
S-10093,Oluklu Mukavva Kutu,38534,164,0.96,0.142,16.83,196.6,991.2,589.78
S-10094,Standart Yumurta Viyolu,51104,45,0.76,0.071,26.11,209.1,357.96,807.35
S-10095,Standart Yumurta Viyolu,86569,52,0.84,0.125,16.1,195.1,624.2,886.8
S-10096,Premium Meyve Viyolu,17455,90,0.85,0.103,18.22,206.8,739.71,455.78
S-10097,Standart Yumurta Viyolu,34356,46,0.78,0.088,15.6,199.3,580.33,507.56
S-10098,Standart Yumurta Viyolu,98501,48,0.74,0.139,32.81,220.7,446.6,1222.29
S-10099,Endüstriyel Ambalaj Viyolu,25713,116,0.73,0.104,32.61,224.7,778.71,673.29
S-10100,Premium Meyve Viyolu,85880,79,0.79,0.086,34.38,214.2,436.34,1115.34
S-10101,Standart Yumurta Viyolu,91183,46,0.73,0.065,22.38,189.6,403.86,947.34
S-10102,Endüstriyel Ambalaj Viyolu,96163,117,0.75,0.14,17.41,211.5,1462.18,952.06
S-10103,Oluklu Mukavva Kutu,44179,202,0.73,0.09,44.08,231.9,918.24,964.41
S-10104,Oluklu Mukavva Kutu,41285,217,0.75,0.117,42.88,213.4,886.37,922.54
S-10105,Endüstriyel Ambalaj Viyolu,27154,122,0.93,0.069,24.71,205.5,487.85,594.16
S-10106,Oluklu Mukavva Kutu,69929,230,0.73,0.111,23.66,214.9,1765.95,816.87
S-10107,Standart Yumurta Viyolu,11220,52,0.86,0.055,25.1,188.1,313.34,482.73
S-10108,Standart Yumurta Viyolu,19602,53,0.78,0.118,37.81,215.7,316.37,678.78
S-10109,Premium Meyve Viyolu,76307,68,0.8,0.143,39.92,237.9,487.49,1068.58
S-10110,Premium Meyve Viyolu,55745,88,0.98,0.068,16.99,224.5,535.57,693.21
S-10111,Standart Yumurta Viyolu,42018,50,0.74,0.13,21.05,189.8,570.49,634.84
S-10112,Oluklu Mukavva Kutu,30676,262,0.9,0.102,25.76,232.6,1379.01,618.25
S-10113,Oluklu Mukavva Kutu,90173,285,0.83,0.088,28.88,198.1,1205.12,1123.27
S-10114,Standart Yumurta Viyolu,97538,53,0.77,0.14,26.52,212.6,534.86,1105.3
S-10115,Oluklu Mukavva Kutu,96951,176,0.74,0.144,33.83,200.1,1055.05,1136.94
S-10116,Premium Meyve Viyolu,44664,63,0.89,0.103,41.82,227.3,284.37,881.15
S-10117,Standart Yumurta Viyolu,82512,47,0.77,0.124,16.01,214.2,752.81,859.77
S-10118,Oluklu Mukavva Kutu,46930,203,0.8,0.132,18.32,230.8,2024.16,619.64
S-10119,Oluklu Mukavva Kutu,36685,217,0.94,0.065,21.88,223.3,996.26,654.69
S-10120,Endüstriyel Ambalaj Viyolu,42914,83,0.91,0.104,22.55,200.7,459.37,709.61
S-10121,Standart Yumurta Viyolu,93136,51,0.84,0.145,19.6,215.2,667.21,965.55
S-10122,Oluklu Mukavva Kutu,15778,150,0.71,0.137,42.96,213.9,850.38,744.69
S-10123,Oluklu Mukavva Kutu,27146,217,0.91,0.065,32.29,216.4,785.76,669.94
S-10124,Premium Meyve Viyolu,67912,77,0.98,0.143,28.53,186.8,287.51,943.34
S-10125,Endüstriyel Ambalaj Viyolu,83519,80,0.88,0.09,16.64,200.1,644.92,805.46
S-10126,Standart Yumurta Viyolu,19862,47,0.86,0.142,25.39,200.8,377.44,590.75
S-10127,Standart Yumurta Viyolu,58393,54,0.77,0.095,19.23,190.6,478.64,728.73
S-10128,Premium Meyve Viyolu,66333,64,0.97,0.086,32.42,217.9,237.74,898.59
S-10129,Standart Yumurta Viyolu,50404,50,0.73,0.15,30.07,215.7,508.01,807.69
S-10130,Standart Yumurta Viyolu,56898,48,0.76,0.14,21.15,191.4,539.67,727.47
S-10131,Premium Meyve Viyolu,97416,63,0.87,0.057,38.27,207.2,224.8,1265.38
S-10132,Oluklu Mukavva Kutu,83385,254,0.82,0.106,19.66,190.9,1499.69,869.99
S-10133,Premium Meyve Viyolu,41029,87,0.89,0.091,15.76,189.4,724.09,605.1
S-10134,Premium Meyve Viyolu,33206,88,0.71,0.072,21.93,220.3,850.32,610.72
S-10135,Endüstriyel Ambalaj Viyolu,13248,91,0.9,0.074,17.98,194.6,624.06,429.37
S-10136,Oluklu Mukavva Kutu,63964,213,0.95,0.09,35.04,192.3,549.13,944.41
S-10137,Oluklu Mukavva Kutu,30866,177,0.7,0.059,21.24,181.6,1191.06,546.71
S-10138,Endüstriyel Ambalaj Viyolu,15075,110,0.83,0.139,39.52,200.5,503.22,653.23
S-10139,Premium Meyve Viyolu,36158,86,0.88,0.077,33.72,204.6,335.62,811.22
S-10140,Endüstriyel Ambalaj Viyolu,55830,99,0.79,0.145,37.91,188.4,514.68,979.2
S-10141,Premium Meyve Viyolu,39219,60,0.97,0.13,27.76,181.3,244.18,659.61
S-10142,Premium Meyve Viyolu,62227,70,0.89,0.076,19.18,230.1,594.21,765.13
S-10143,Oluklu Mukavva Kutu,19099,221,0.75,0.077,15.55,234.9,2456.09,413.89
S-10144,Oluklu Mukavva Kutu,94080,280,0.78,0.105,34.54,229.8,1436.73,1191.05
S-10145,Endüstriyel Ambalaj Viyolu,99065,114,0.88,0.117,20.26,234.9,884.01,955.5
S-10146,Oluklu Mukavva Kutu,13617,179,0.86,0.055,19.99,224.3,1153.63,434.84
S-10147,Oluklu Mukavva Kutu,33405,298,0.77,0.089,23.66,201.3,1648.51,647.23
S-10148,Oluklu Mukavva Kutu,15014,177,0.87,0.098,34.91,236.2,779.24,654.34
S-10149,Endüstriyel Ambalaj Viyolu,55309,126,0.71,0.076,32.85,183.1,727.08,870.35
S-10150,Oluklu Mukavva Kutu,67199,280,0.8,0.127,18.2,184.5,1977.45,830.1
S-10151,Standart Yumurta Viyolu,60488,54,0.91,0.093,22.39,229.1,430.21,812.27
S-10152,Premium Meyve Viyolu,43386,61,0.78,0.109,25.83,185.5,458.0,729.64
S-10153,Endüstriyel Ambalaj Viyolu,10221,113,0.76,0.104,41.19,223.9,633.07,710.14
S-10154,Premium Meyve Viyolu,57739,73,0.91,0.135,22.49,209.4,538.09,771.54
S-10155,Standart Yumurta Viyolu,97062,50,0.75,0.107,42.46,182.0,246.44,1313.52
S-10156,Oluklu Mukavva Kutu,96951,181,0.98,0.147,43.33,208.5,431.44,1271.65
S-10157,Oluklu Mukavva Kutu,76469,229,0.8,0.133,16.11,215.8,2281.7,800.35
S-10158,Endüstriyel Ambalaj Viyolu,52753,105,0.72,0.12,25.2,223.5,1007.24,751.83
S-10159,Oluklu Mukavva Kutu,82667,182,0.86,0.129,24.56,217.6,1176.78,985.93
S-10160,Premium Meyve Viyolu,65108,81,0.77,0.052,41.1,181.3,311.74,1080.57
S-10161,Endüstriyel Ambalaj Viyolu,98777,127,0.98,0.13,44.94,201.0,284.81,1374.69
S-10162,Premium Meyve Viyolu,90676,78,0.84,0.113,41.21,239.0,425.68,1273.9
S-10163,Oluklu Mukavva Kutu,63225,290,0.83,0.124,22.16,186.6,1492.48,767.6
S-10164,Standart Yumurta Viyolu,49829,49,0.79,0.073,16.26,181.1,503.95,645.0
S-10165,Premium Meyve Viyolu,66346,85,0.82,0.118,21.55,237.0,919.9,802.92
S-10166,Oluklu Mukavva Kutu,70946,263,0.98,0.097,33.4,190.0,565.63,1001.29
S-10167,Endüstriyel Ambalaj Viyolu,98555,93,0.88,0.101,21.92,190.6,560.55,1000.9
S-10168,Endüstriyel Ambalaj Viyolu,32241,122,0.93,0.085,16.74,238.1,1013.8,518.34
S-10169,Standart Yumurta Viyolu,47196,53,0.91,0.065,39.47,193.5,186.42,845.82
S-10170,Oluklu Mukavva Kutu,22240,210,0.88,0.108,17.74,232.6,1619.95,470.04
S-10171,Oluklu Mukavva Kutu,39444,200,0.97,0.146,40.86,228.6,596.35,936.4
S-10172,Premium Meyve Viyolu,13201,61,0.73,0.091,26.18,195.6,502.54,557.29
S-10173,Premium Meyve Viyolu,72277,79,0.72,0.072,35.5,184.6,415.03,1064.09
S-10174,Standart Yumurta Viyolu,69692,51,0.84,0.109,39.74,200.9,271.49,1127.43
S-10175,Premium Meyve Viyolu,60328,75,0.78,0.138,38.92,219.5,512.34,999.04
S-10176,Endüstriyel Ambalaj Viyolu,41979,89,0.91,0.118,33.56,225.2,440.29,800.25
S-10177,Standart Yumurta Viyolu,23970,51,0.8,0.124,19.82,229.1,658.75,539.91
S-10178,Premium Meyve Viyolu,33053,85,0.7,0.079,33.51,238.9,620.03,758.96
S-10179,Endüstriyel Ambalaj Viyolu,16582,115,0.89,0.104,38.4,186.4,395.01,732.03
S-10180,Premium Meyve Viyolu,25906,74,0.99,0.084,33.98,235.9,244.05,701.55
S-10181,Premium Meyve Viyolu,70901,81,0.79,0.121,17.02,214.9,1060.97,737.26
S-10182,Oluklu Mukavva Kutu,68008,279,0.71,0.137,44.2,238.1,1425.12,1108.94
S-10183,Endüstriyel Ambalaj Viyolu,81810,108,0.93,0.052,15.66,199.4,717.82,837.48
S-10184,Premium Meyve Viyolu,72216,74,0.9,0.095,23.21,239.8,521.67,791.59
S-10185,Oluklu Mukavva Kutu,42406,220,0.75,0.129,35.81,193.2,1067.18,806.74
S-10186,Endüstriyel Ambalaj Viyolu,92149,95,0.9,0.077,43.53,189.1,282.86,1236.4
S-10187,Oluklu Mukavva Kutu,67654,169,0.83,0.114,26.93,196.5,924.35,891.5
S-10188,Oluklu Mukavva Kutu,40735,219,0.97,0.073,21.39,181.9,638.66,678.5
S-10189,Oluklu Mukavva Kutu,51904,288,0.96,0.097,44.05,191.1,534.84,1003.99
S-10190,Standart Yumurta Viyolu,28136,47,0.93,0.134,37.83,217.6,231.97,778.31
S-10191,Premium Meyve Viyolu,60205,82,0.94,0.098,18.52,187.5,464.46,786.42
S-10192,Premium Meyve Viyolu,38043,62,0.76,0.099,16.93,214.9,854.23,555.55
S-10193,Endüstriyel Ambalaj Viyolu,63424,101,0.79,0.096,15.35,184.3,980.42,646.99
S-10194,Endüstriyel Ambalaj Viyolu,64496,83,0.88,0.079,35.85,231.6,383.62,967.57
S-10195,Premium Meyve Viyolu,65069,72,0.77,0.149,19.27,209.9,961.16,801.36
S-10196,Standart Yumurta Viyolu,85456,51,0.87,0.051,24.79,211.1,323.48,946.4
S-10197,Endüstriyel Ambalaj Viyolu,10772,102,0.71,0.058,26.91,188.0,698.1,526.09
S-10198,Oluklu Mukavva Kutu,61116,257,0.94,0.07,20.02,186.3,1027.51,785.51
S-10199,Premium Meyve Viyolu,73993,67,0.71,0.144,16.56,212.5,1119.16,812.26
S-10200,Oluklu Mukavva Kutu,67125,274,0.91,0.13,25.18,228.9,1501.54,865.26
S-10201,Standart Yumurta Viyolu,60968,50,0.84,0.114,30.79,223.9,363.74,868.63
S-10202,Endüstriyel Ambalaj Viyolu,31632,109,0.96,0.072,44.28,200.2,253.58,837.3
S-10203,Premium Meyve Viyolu,91560,77,0.9,0.1,31.66,223.2,408.82,1100.32
S-10204,Standart Yumurta Viyolu,61645,54,0.76,0.118,17.17,181.8,622.6,678.23
S-10205,Standart Yumurta Viyolu,21003,55,0.96,0.123,37.28,205.5,194.83,662.65
S-10206,Endüstriyel Ambalaj Viyolu,27786,109,1.0,0.054,41.01,214.7,230.58,778.18
S-10207,Premium Meyve Viyolu,16590,68,0.85,0.137,42.02,205.3,345.88,685.91
S-10208,Endüstriyel Ambalaj Viyolu,52906,93,0.97,0.071,33.69,217.9,284.65,881.91
S-10209,Endüstriyel Ambalaj Viyolu,52840,101,0.91,0.141,20.39,194.3,680.86,741.36
S-10210,Endüstriyel Ambalaj Viyolu,46471,128,0.77,0.137,28.36,210.9,1001.71,709.33
S-10211,Endüstriyel Ambalaj Viyolu,43065,85,0.75,0.089,44.08,195.5,362.25,972.01
S-10212,Endüstriyel Ambalaj Viyolu,12540,127,0.93,0.063,44.09,207.2,323.07,693.1
S-10213,Standart Yumurta Viyolu,55870,48,0.8,0.133,27.93,194.9,418.9,846.14
S-10214,Standart Yumurta Viyolu,95426,45,0.75,0.067,16.1,224.2,643.72,1011.01
S-10215,Standart Yumurta Viyolu,42411,48,0.95,0.131,32.56,232.1,259.32,780.22
S-10216,Standart Yumurta Viyolu,91439,47,0.78,0.056,30.94,236.2,377.22,1082.13
S-10217,Premium Meyve Viyolu,26544,75,0.79,0.101,16.25,188.9,833.46,494.29
S-10218,Standart Yumurta Viyolu,83920,48,0.84,0.102,29.67,220.0,376.33,979.03
S-10219,Endüstriyel Ambalaj Viyolu,43586,129,0.76,0.117,44.1,185.6,513.55,1003.9
S-10220,Oluklu Mukavva Kutu,31992,179,0.96,0.068,35.78,230.3,510.98,768.36
S-10221,Premium Meyve Viyolu,50768,63,0.85,0.112,41.07,214.2,334.63,987.6
S-10222,Standart Yumurta Viyolu,50888,54,0.76,0.116,26.82,219.1,533.15,749.3
S-10223,Endüstriyel Ambalaj Viyolu,61990,125,1.0,0.055,44.32,204.4,211.24,1072.58
S-10224,Premium Meyve Viyolu,19961,78,0.87,0.124,41.36,204.2,362.35,709.43
S-10225,Premium Meyve Viyolu,23356,82,0.94,0.126,38.93,206.1,296.68,742.69
S-10226,Oluklu Mukavva Kutu,99687,180,0.86,0.051,24.74,202.0,889.79,1028.77
S-10227,Standart Yumurta Viyolu,55508,53,0.82,0.095,22.13,202.4,503.11,776.51
S-10228,Endüstriyel Ambalaj Viyolu,96706,103,0.89,0.096,26.39,231.8,558.83,1162.89
S-10229,Standart Yumurta Viyolu,76317,55,0.71,0.084,26.41,203.9,516.66,1024.03
S-10230,Oluklu Mukavva Kutu,11658,257,0.88,0.126,39.39,223.1,985.09,675.98
S-10231,Endüstriyel Ambalaj Viyolu,23833,107,0.77,0.143,16.81,236.1,1484.46,471.28
S-10232,Oluklu Mukavva Kutu,93307,267,0.85,0.076,23.55,198.4,1275.83,1065.28
S-10233,Premium Meyve Viyolu,67080,65,0.79,0.111,36.48,196.4,354.63,984.85
S-10234,Oluklu Mukavva Kutu,90728,287,0.75,0.118,20.44,211.5,2235.79,967.23
S-10235,Endüstriyel Ambalaj Viyolu,70931,107,0.87,0.076,43.89,209.0,370.66,1168.18
S-10236,Oluklu Mukavva Kutu,52245,212,0.71,0.113,43.54,216.1,1010.2,983.67
S-10237,Standart Yumurta Viyolu,46559,52,0.77,0.071,33.33,204.7,310.8,799.79
S-10238,Premium Meyve Viyolu,70910,78,0.93,0.077,39.68,205.4,245.68,1068.87
S-10239,Endüstriyel Ambalaj Viyolu,54092,81,0.89,0.095,32.6,190.1,357.5,877.08
S-10240,Endüstriyel Ambalaj Viyolu,52600,91,0.77,0.06,15.71,218.5,1084.78,707.93
S-10241,Endüstriyel Ambalaj Viyolu,37802,102,0.77,0.089,32.83,209.8,582.53,809.48
S-10242,Oluklu Mukavva Kutu,54608,221,0.83,0.122,35.77,239.5,1170.37,963.09
S-10243,Oluklu Mukavva Kutu,82848,152,0.78,0.058,17.57,233.7,1409.38,834.06
S-10244,Premium Meyve Viyolu,21221,67,0.77,0.085,17.08,211.1,802.72,434.09
S-10245,Endüstriyel Ambalaj Viyolu,74038,115,0.96,0.115,30.99,199.5,426.87,926.04
S-10246,Premium Meyve Viyolu,72402,80,1.0,0.116,31.73,223.8,261.14,969.21
S-10247,Endüstriyel Ambalaj Viyolu,68743,130,0.87,0.146,20.26,221.4,1124.07,764.15
S-10248,Standart Yumurta Viyolu,22196,49,0.73,0.095,37.68,200.9,339.21,733.89
S-10249,Premium Meyve Viyolu,63005,82,0.98,0.073,26.98,189.1,277.71,858.13
S-10250,Premium Meyve Viyolu,50135,81,0.86,0.112,17.67,225.3,851.84,653.9
S-10251,Oluklu Mukavva Kutu,72031,291,0.93,0.121,16.08,198.2,1614.0,739.57
S-10252,Oluklu Mukavva Kutu,65771,290,0.73,0.144,31.61,198.3,1525.37,847.02
S-10253,Oluklu Mukavva Kutu,56112,266,0.88,0.102,42.58,209.8,791.04,991.75
S-10254,Oluklu Mukavva Kutu,50189,214,0.81,0.138,41.04,228.4,980.36,975.96
S-10255,Premium Meyve Viyolu,25814,83,0.72,0.09,20.21,221.7,944.66,530.12
S-10256,Premium Meyve Viyolu,51359,63,0.89,0.132,18.98,231.7,657.11,703.89
S-10257,Premium Meyve Viyolu,35105,66,0.88,0.126,20.25,210.2,549.24,583.96
S-10258,Endüstriyel Ambalaj Viyolu,46241,126,0.81,0.057,15.77,188.1,1005.01,622.73
S-10259,Oluklu Mukavva Kutu,23176,199,0.99,0.093,24.35,210.4,604.25,559.6
S-10260,Oluklu Mukavva Kutu,39816,242,0.89,0.072,33.59,219.0,836.68,828.51
S-10261,Premium Meyve Viyolu,49618,60,0.72,0.149,16.73,221.7,1002.59,635.49
S-10262,Premium Meyve Viyolu,45954,61,0.91,0.056,30.28,239.8,333.88,819.31
S-10263,Standart Yumurta Viyolu,82529,49,0.79,0.112,30.81,205.6,346.74,1016.93
S-10264,Premium Meyve Viyolu,93606,87,0.81,0.091,39.83,224.0,440.4,1081.37
S-10265,Endüstriyel Ambalaj Viyolu,23446,80,0.71,0.076,37.81,188.2,386.63,731.44
S-10266,Oluklu Mukavva Kutu,71524,272,0.7,0.074,44.28,228.1,1152.34,1142.13
S-10267,Endüstriyel Ambalaj Viyolu,54657,91,0.73,0.105,28.63,230.7,795.66,788.26
S-10268,Standart Yumurta Viyolu,43092,52,0.75,0.082,37.12,208.6,308.12,790.96
S-10269,Standart Yumurta Viyolu,18564,51,0.84,0.129,41.76,237.3,313.43,772.64
S-10270,Endüstriyel Ambalaj Viyolu,19710,116,0.91,0.094,22.64,230.5,820.06,507.2
S-10271,Standart Yumurta Viyolu,29887,47,0.9,0.14,34.1,216.8,285.1,701.66
S-10272,Oluklu Mukavva Kutu,21164,213,0.75,0.124,30.37,220.8,1356.67,626.6
S-10273,Standart Yumurta Viyolu,83147,51,0.72,0.051,43.7,224.3,272.55,1138.81
S-10274,Premium Meyve Viyolu,78494,72,0.8,0.127,34.84,191.1,440.58,1078.44
S-10275,Endüstriyel Ambalaj Viyolu,68028,99,0.78,0.052,17.47,238.1,1112.65,748.46
S-10276,Endüstriyel Ambalaj Viyolu,50026,116,0.89,0.088,21.17,187.3,686.16,714.77
S-10277,Standart Yumurta Viyolu,89905,46,0.89,0.103,16.26,238.1,550.5,932.89
